Abjad,Kata Baku,Kata Tidak Baku
,Ekstra,Extra
,Ekstrakurikuler,Ekstrakulikuler
,Ekstrem,Ekstrim
,Ekuivalen,"Ekwivalen, equivalen"
,Elektrode,Elektroda
,Elips,Elip
,Elite,Elit
,Emas,Mas
,Embus,Hembus
,Empas,Hempas
,Enjin,Engine
,Ensiklopedia,Ensiklopedi
,Episode,Episod
,Epos,Ephos
,Esai,Essai
,Esens,Esen
,Eskadron,Sekuadron
,Etanol,Ethanol
F,Fakih,Faqih
,Faksimili,Faksimil
,Familier,Familiar
,Farmakope,Farmakop
,Favorit,Pavorit
,Februari,Pebruari
,Feri,Peri
,Filipina,Philipina
,Film,Filem
,Filsuf,Filosof
,Finis,Finish
,Flat,Plat
,Folio,Polio
,Formal,Formil
,Foto,Photo
,Fotokopi,Foto copy
,Fotosintesis,Fotosintesa
,Frekuensi,Frekwensi
G,Gaib,Ghaib
,Galaktosa,Galaktose
,Galeri,Galery
,Gap,Gep
,Geiser,Geyser
,Geladi bersih,Geladi resik
,Gelondong,Glondong
,Genealogi,Geneologi
,Genting,Genteng
,Gerebek,Grebek
,Gereget,Greget
,Gerendel,Grendel
,Gips,Gip
,Glamor,Glamour
,Glaukoma,Glukoma
,Glosarium,Glosary
,Glukosa,Glukose
,Gongseng,Ongseng
,Griya,Gria
,Grup,Group
,Gua,Goa
,Gubuk,Gubug
,Gudeg,Gudek
,Guncang,Goncang
H,Hadis,Hadist
,Hafal,Hapal
,Hakikat,Hakekat
,Hal-hal,Hal-ihwal
,Hektare,Hektar
,Heterogen,Hetrogen
,Hidraulis,Hidrolis
,Hierarki,Hirarki
,Hieroglif,Hiroglif
,Higienis,Higenis
,Himne,Hymne
,Hipermetropia,Hipermetri
,Hipotek,Hipotik
,Hipotesis,Hipotesa
,Hipovitaminosis,Hipovitaminose
I,Ibtidaiah,Ibtidaiyah
,Idah,Iddah
,Ideal,Idial
,Ideologi,Idiologi
,Ihwal,Ikhwal
,Ijazah,Ijasah
,Ikat,Iket
,Ikhlas,Ihlas
,Iktibar,I’tibar
,Iktikaf,I’tikaf
,Ilusi,Illusi
,Imbau,Himbau
,Impit,Himpit
,Impor,Import
,Indra,Indera
,Influenza,Influensa
,Inframerah,Infra merah
,Infus,Inpus
,Ingar-bingar,Hingar-bingar
,Inkam,Income
,Inkognito,Incognito
,Insting,Instink
,Intelijen,Inteligen
,Intens,Inten
,Interogasi,Interograsi
,Introspeksi,Interopeksi
,Isap,Hisap
,Izin,Ijin
J,Jadwal,Jadual
,Jagat,Jagad
,Jahiliah,Jahiliyah
,Jajar,Jejer
,Jamaah,Jemaah
,Jenderal,Jendral
,Jenius,Genius
,Jerapah,Zarafah
,Jeriken,Jerigen
,Jip,Jeep
,Joging,Jogging
,Join,Joint
,Jorjoran,Jor-joran
,Jubileum,Jubilum
,Judo,Yudo
,Jujitsu,Jiujitsu
,Junior,Yunior
,Junktur,Jungtur
,Juz,Jus
K,Kacamata,Kaca mata
,Kafah,Kaffah
,Kafetaria,Cafetaria
,Kaidah,Kaedah
,Kakbah,Ka’bah
,Kaleidoskop,Kaleidioskop
,Kalkarium,Kalkarim
,Kamerawan,Kameramen
,Kamuflase,Kamuplase
,Kanguru,Kangguru
,Kanker,Kangker
,Kantong,Kantung
,Karburasi,Kaburasi
,Karburator,Kaburator
,Karena,Karna
,Karier,Karir
,Karisma,Kharisma
,Karismatik,Kharismatik
,Kasip,Kasep
,Kategori,Katagori
,Katering,Catering
,Kaus,Kaos
,"Kayangan, kahyangan",Khayangan
,Kedaluwarsa,Kadaluwarsa
,Kemarin,Kemaren
,Kemboja,Kamboja
,Kepok,Gepok
,Kesatria,Ksatria
,Khawatir,Kuatir
,Kles,Clash
,Klien,"Clien, client"
,Klor,Chlor
,Klub,Club
,Koboi,Koboy
,Komoditas,Komoditi
,Kompleks,Komplek
,Komplet,Komplit
,Konferensi,Konperensi
,Kongres,Konggres
,Konkret,Kongkret
,Koper,Kopor
,Kosakata,Kosa kata
,Kover,Cover
,Kreatif,Kreatip
,Kreativitas,Kreatifitas
,Kualitas,Kwalitas
,Kuantitas,Kwantitas
,Kuesioner,Kuisioner
,Kuintal,Kwintal
,Kuota,Kwota
L,Lafal,"Lapal, rapal"
,Lamtaragung,Lamtorogung
,Laskar,Lasykar
,Lazim,"Lajim, lasim"
,Leding,Ledeng
,Legalisasi,Legalisir
,Lemari,Almari
,Lembap,Lembab
,Leukemia,Leukimia
,Leveransir,Laveransir
,Linear,Linier
,Lobi,Loby
,Lokalisasi,Lokalisir
,Longmars,Long march
,Lubang,Lobang
,Lusin,Losin
M,Maaf,Ma’af
,Mafhum,Mafum
,Mag,Maag
,Magnet,Mahnet
,Magrib,Maghrib
,Maizena,Maisena
,Majelis,Majilis
,Mak comblang,Makcomblang
,Makhdum,Makdum
,Makhluk,Mahluk
,Makroekonomi,Makro ekonomi
,Malapraktik,Malpraktek
,Mampat,Mampet
,Manajemen,Managemen
,Manajer,Manager
,Mandek,Mandeg
,Mangkuk,Mangkok
,Manuskrip,Manuskrif
,Maraton,Marathon
,Margarin,Margarine
,Marginal,Marjinal
,Masjid,Mesjid
,Masyhur,Mashur
,Matang,Mateng
,Mazhab,Madzab
,Memerhatikan,Memperhatikan
,Memerintah,Memperintah
,Memerlukan,Memperlukan
,Memesona,Mempesona
,Mempopulerkan,Mempopulerkan
,Mengapa,Kenapa
,Mengubah,Merubah
,Menteri,Mentri
,Mentimun,Timun
,Menyontek,Mencontek
,Menyukseskan,Mensukseskan
,Merek,Merk
,Meterai,Materai
,Metode,Metoda
,Miliar,Milyar
,Modern,Moderen
,Mozaik,Mosaik
,Musabab,Sebab-musabab
,Museum,Musium
N,Nafsu,Napsu
,Nahas,Naas
,Nakhoda,"Nahkoda, nakoda, nangkoda"
,Nanas,Nenas
,Napas,Nafas
,Narasumber,Nara sumber
,Nasihat,Nasehat
,Nazar,Nadzar
,Negeri,Negri
,Neokolonialisme,Neo-kolonialisme
,Neto,Netto
,Netralisasi,Netralisir
,Nifas,Nipas
,Nomor,Nomer
,Nonaktif,Non aktif
,Nonformal,Non formal
,Notula,Notulen
,November,Nopember
O,Objek,Obyek
,Objektif,Obyektif
,Ojek,Ojeg
,Olahraga,Olah raga
,Omzet,Omset
,Orang tua,Orangtua
,Oranye,Orange
,Organisasi,Organisir
,Orisinal,Orisinil
,Orkestra,Orchestra
,Osmose,Osmosis
,Otomatis,Automatis
P,Paderi,Padri
,Paham,Faham
,Palm,Palem
,Pamflet,"Famplet, pamfelet"
,Pancaindera,Panca indra
,Pankreas,Pangkreas
,Paradoks,Paradox
,Paramedis,Paramedik
,Parasut,Parasit
,Parogog,Pargoge
,Pascapanen,Pasca panen
,Pasfoto,Pas photo
,Pasif,Pasive
,Paspor,Pasport
,Paten,Patent
,Paviliun,Pavilyun
,Pedas,Pedes
,Pedepokan,Padepokan
,Peduli,Perduli
,Pelesetan,Plesetan
,Pelesir,Plesir
,Peleton,Pleton
,Pelihara,"Peliara, piara"
,Pelintir,Plintir
,Pembaruan,Pembaharuan
,Pemirsa,Pirsawan
,Penasihat,Penasehat
,Penembahan,Panembahan
,Perajin,Pengrajin
,Peranti,Piranti
,Perkedel,Pergedel
,Permukiman,Pemikiman
,Persentase,"Presentase, prosentase"
,Perusak,Pengrusak
,Petai,"Pete, petay"
,Pikir,Fikir
,Praktik,Praktek
,Prancis,Perancis
,Prangko,Perangko
,Proaktif,Pro aktif
,Provinsi,Propinsi
,Proyek,Project
,Putra,Putera
,Putri,Puteri
R,Rabu,Rebo
,Radioaktif,Radio aktif
,Rakaat,Rekaat
,Ramai,Rame
,Ranking,Rangking
,Ransel,Rangsel
,Rapi,Rapih
,Rapor,Raport
,Rasional,Rasionil
,Razia,"Rajia, rasia"
,Real,Riil
,Realisasi,Realisir
,Realitas,Realita
,Relief,Relif
,Religius,Relijius
,Rematik,Reumatik
,Renaisans,Renaisan
,Reptilia,Reptil
,Reservoir,Reservoar
,Respons,Respon
,Restoras,Restauran
,Resume,Resum
,Rezeki,"Rejeki, rizeki, rizki"
,Rezim,Regim
,Rida,"Ridho, ridha"
,Risiko,Resiko
,Ritme,Ritma
,Rontgen,Ronsen
,Rubuh,Roboh
S,Saf,Shaf
,Sah,Syah
,Sahabat,Sobat
,Sahaja,Sehaja
,Sahdu,Syahdu
,Sahib,Sokhib
,Sajak,Sanjak
,Sakaguru,Saka guru guru
,Sakelar,Saklar
,Saksama,Seksama
,Salat,"Shalat, sholat"
,Sambal,Sambel
,Sampo,Shampo
,Samudra,Samudera
,Sangsi,Sanksi
,Sanskerta,Sansekerta
,Saraf,Syaraf
,Satai,Sate
,Saus,Saos
,Sedekah,Sodakoh
,Sediakala,Sedia kala
,Sein,Seign
,Sekadar,Sekedar
,Sekop,Skop
,Sekretaris,Sekertaris
,Sekte,Sekta
,Sekular,Sekuler
,Selebritas,Selebriti
,Selektivitas,Selektifitas
,Selendro,Slendro
,Selulosa,Selulose
,Semadi,Semedi
,Sembrana,Sembrono
,Semenda,Semanda
,Senapati,Senopati
,Sengkalan,Sangkalan
,Sengse,Sinse
,Sentigram,Centigram
,Sentimental,Sentimentil
,Sentimeter,Centimeter
,Sentosa,Sentausa
,Sentral,Central
,Sepatbor,Sepakbor
,Seprai,Seprei
,Sepur,Spor
,Serban,Sorban
,Serbaneka,Serba aneka
,Seriawan,Sariawan
,Serigala,Srigala
,Serunai,Seruni
,Servis,Service
,Setagen,Stagen
,Setip,Stip
,Setir,Stir
,Setrika,Seterika
,Setrip,Strip
,Seyogianya,Seyogyanya
,Siapa pun,Siapapun
,Siar,Syi’ar
,Silakan,Silahkan
,Silaturahmi,Silaturohmi
,Silinder,Selinder
,Simpel,Simple
,Sinagoge,Sinagog
,Sindrom,Sindrome
,Sinkop,Sinkope
,Sinse,Sense
,Sintesis,Sintesa
,Sirene,Sirine
,Sirup,Sirop
,Sistem,Sistim
,Ski,Sky
,Skolastik,Sekolastik
,Skor,Score
,Skors,Skorsing
,Slang,Slank
,Smes,Smash
,Sofbal,Sofball
,Solenoide,Solenoid
,Sombrero,Somberero
,Sop,Sup
,Sopir,Supir
,Sosiodrama,Sosio drama
,Spageti,Spagheti
,Spanduk,Sepanduk
,Spesial,Sepesial
,Spesies,Species
,Spionase,Sepionase
,Spiritual,Spirituil
,Spons,Sepon
,Sprin,Sprint
,Srek,Sreg
,Stan,Stand
,Standar,Standard
,Standardisasi,Standarisasi
,Stanza,Stansa
,Starter,Stater
,Stereotip,Stereotipe
,Stiker,Sticker
,Stok,Stock
,Stres,Stress
,Striker,Setriker
,Stroberi,Strawberry
,Studi,Study
,Subbab,Sub bab
,Subbagian,Sub bagian
,Subjek,Subyek
,Subkontraktor,Sub kontraktor
,Subsider,Subsidair
,Substansi,Subtansi
,Sunstitusi,Subtitusi
,Subtropik,Sub tropik
,Subunit,Sub unit
,Sukacita,Suka cita
,Suling,Seruling
,Sumatra,Sumatera
,Suplemen,Saplemen
,Supremasi,Supermasi
,Surah,Surat
,Surga,Sorga
,Survei,Survey
,Susastra,Susastera
,Sutra,Sutera
,Suvenir,Souvenir
,Swasembada,Swa sembada
,Sweter,"Suiter, switer"
,Swipoa,Sempoa
,Syafaat,Syafa’at
,Syahadat,Sahadat
,Syahid,Sahid
,Syair,Sair
,Syariat,Syareat
,Syekh,Sheh
,Syirik,Sirik
,Syiwa,Siwa
,Syogun,Shogun
,Syubhat,Syubat
T,Tablig,Tabligh
,Takhayul,Tahayul
,Takhta,Tahta
,Taksi,Taxi
,Takzim,Takjim
,Tampak,Nampak
,Tamsil,Tamzil
,Tanker,Tangker
,Taoco,Tauco
,Taoge,Tauge
,Tapai,Tape
,Taplak,Tapelak
,Tarif,Tarip
,Tarkhim,Tarkim
,Tata niaga,Tataniaga
,Tawakal,Tawakkal
,Teater,Theater
,Tekad,Tekat
,Teknik,Tehnik
,Teknologi,Tekhnologi
,Teladan,Tauladan
,Telanjur,Terlanjur
,Telantar,Terlantar
,Telentang,Terlentang
,Telepon,Telpon
,Telur,Telor
,Tenteram,Tentram
,Teoretis,Teoritis
,Tepercaya,Terpercaya
,Terampil,Trampil
,Terima kasih,Terimakasih
,Tes,Test
,Tesis,Thesis
,Tetapi,Tapi
,Tidak,Nggak
,Tiket,Ticket
,Tip,Tips
,Tipe,Type
,Tobat,Taubat
,Tokek,Tekek
,Toleransi,Tolerir
,Torpedo,Terpedo
,Tradisional,Tradisionil
,Transpor,Transport
,Tur,Tour
,Turis,Touris
,Turnamen,Tournament
U,Ubah,Rubah
,Ujian ulang,Ujian ulangan
,Ukulele,Okulele
,Ultramodern,Ultra modern
,Unta,Onta
,Urine,Urin
,Utang,Hutang
V,Vak,Fak
,Vaksinasi,Faksinasi
,Vakum,Fakum
,Valid,Falid
,Vampir,Vampire
,Vanili,Pannili
,Variasi,Vareasi
,Varietas,Varitas
,Vas,Fas
,Vegetaris,Vegetarian
,Verifikasi,Veripikasi
,Vermak,Vermaks
,Video,Vidio
,Vila,Villa
,Vinyet,Vignet
,Volume,Volum
W,Wiraswasta,Wirausaha
Y,Yogyakarta,Jogjakarta
,Yudikatif,Judikatif
,Yudisial,Judisial
,Yurisdiksi,Jurisdiksi
Z,Zaman,Jaman
,Zamzam,Zam-zam
,Zhuhur,Dzuhur
,Zigot,Zigote
,Zig-zag,Zigzag
,Ziter,Sitar
,Zona,Zone
Sources,,
https://dailysocial.id/post/kata-baku-adalah,,
https://id.scribd.com/document/700756945/Contoh-Kata-Baku-dan-Tidak-Baku-zahara,,
